#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 07 26 21 00  71  2.1  3.5 99.00 99.00 99.00 999 1014.4  29.2  30.2  24.4 99.0 99.00
2021 07 26 21 10  90  2.8  4.1 99.00 99.00 99.00 999 1014.4  29.2  30.4  24.2 99.0 99.00
2021 07 26 21 20  97  2.9  3.9 99.00 99.00 99.00 999 1014.3  29.3  30.3  24.0 99.0 99.00
2021 07 26 21 30 103  3.3  4.3 99.00 99.00 99.00 999 1014.1  29.3  30.5  24.2 99.0 99.00
2021 07 26 21 40 103  3.5  4.3  0.29  4.35  3.72 164 1014.0  29.3  30.6  24.2 99.0 99.00
2021 07 26 21 50 104  3.4  4.3 99.00 99.00 99.00 999 1014.0  29.3  30.5  24.5 99.0 99.00
2021 07 26 22 00 105  3.5  4.9 99.00 99.00 99.00 999 1014.0  29.3  30.7  24.5 99.0 99.00
2021 07 26 22 10 104  3.2  4.0 99.00 99.00 99.00 999 1013.9  29.3  30.7  24.4 99.0 99.00
2021 07 26 22 20 107  3.2  4.2 99.00 99.00 99.00 999 1013.9  29.3  30.8  24.1 99.0 99.00
2021 07 26 22 30 112  3.4  4.4 99.00 99.00 99.00 999 1013.9  29.4  30.8  24.2 99.0 99.00
2021 07 26 22 40 114  3.5  4.9  0.29  4.35  3.63 160 1013.9  29.4  30.8  24.7 99.0 99.00
2021 07 26 22 50 115  3.5  4.6 99.00 99.00 99.00 999 1013.6  29.4  30.8  24.8 99.0 99.00
2021 07 26 23 00 119  3.8  5.1 99.00 99.00 99.00 999 1013.6  29.3  30.7  24.5 99.0 99.00
2021 07 26 23 10 115  3.8  5.0 99.00 99.00 99.00 999 1013.5  29.3  30.8  24.4 99.0 99.00
2021 07 26 23 20 112  3.6  4.6 99.00 99.00 99.00 999 1013.3  29.3  30.7  24.3 99.0 99.00
2021 07 26 23 30 120  3.5  4.3 99.00 99.00 99.00 999 1013.3  29.3  30.8  24.5 99.0 99.00
2021 07 26 23 40 119  4.0  5.2  0.26  4.17  3.55 163 1013.2  29.3  30.7  24.7 99.0 99.00
2021 07 26 23 50 121  4.2  5.4 99.00 99.00 99.00 999 1013.2  29.3  30.7  24.8 99.0 99.00
2021 07 27 00 00 121  4.3  5.1 99.00 99.00 99.00 999 1013.1  29.2  30.4  24.5 99.0 99.00
2021 07 27 00 10 119  4.0  5.3 99.00 99.00 99.00 999 1013.1  29.2  30.4  24.3 99.0 99.00
2021 07 27 00 20 122  3.4  4.6 99.00 99.00 99.00 999 1013.1  29.3  30.2  24.2 99.0 99.00
2021 07 27 00 30 121  3.4  4.6 99.00 99.00 99.00 999 1013.1  29.2  30.1  24.1 99.0 99.00
2021 07 27 00 40 120  4.1  5.2  0.26  3.85  3.45 173 1013.1  29.2  30.2  24.2 99.0 99.00
2021 07 27 00 50 128  4.0  4.9 99.00 99.00 99.00 999 1013.2  29.2  30.2  24.0 99.0 99.00
2021 07 27 01 00 128  3.9  4.9 99.00 99.00 99.00 999 1013.3  29.2  30.2  24.1 99.0 99.00
2021 07 27 01 10 120  3.9  5.1 99.00 99.00 99.00 999 1013.3  29.2  30.1  24.1 99.0 99.00
2021 07 27 01 20 125  4.1  5.2 99.00 99.00 99.00 999 1013.2  29.1  30.0  24.0 99.0 99.00
2021 07 27 01 30 126  3.4  4.2 99.00 99.00 99.00 999 1013.2  29.1  29.9  24.3 99.0 99.00
2021 07 27 01 40 128  3.6  4.6  0.27  4.00  3.49 170 1013.3  29.1  29.9  24.6 99.0 99.00
2021 07 27 01 50 130  4.3  5.3 99.00 99.00 99.00 999 1013.2  29.0  29.9  24.5 99.0 99.00
2021 07 27 02 00 124  4.3  5.1 99.00 99.00 99.00 999 1013.2  29.0  29.8  24.2 99.0 99.00
2021 07 27 02 10 127  4.1  5.2 99.00 99.00 99.00 999 1013.2  29.0  29.8  24.3 99.0 99.00
2021 07 27 02 20 127  4.4  5.4 99.00 99.00 99.00 999 1013.2  29.0  29.8  24.5 99.0 99.00
2021 07 27 02 30 128  4.1  5.1 99.00 99.00 99.00 999 1013.2  28.9  29.8  24.4 99.0 99.00
2021 07 27 02 40 128  4.2  5.3  0.26  4.76  3.22 131 1013.2  28.9  29.7  24.4 99.0 99.00
2021 07 27 02 50 122  4.0  5.2 99.00 99.00 99.00 999 1013.5  28.9  29.8  24.5 99.0 99.00
2021 07 27 03 00 129  4.1  4.8 99.00 99.00 99.00 999 1013.6  28.9  29.8  24.2 99.0 99.00
2021 07 27 03 10 124  3.6  5.4 99.00 99.00 99.00 999 1013.8  28.9  29.8  24.2 99.0 99.00
2021 07 27 03 20 122  3.7  4.8 99.00 99.00 99.00 999 1014.0  28.9  29.8  24.2 99.0 99.00
2021 07 27 03 30 127  3.8  4.7 99.00 99.00 99.00 999 1014.1  28.9  29.7  24.2 99.0 99.00
2021 07 27 03 40 126  3.3  4.3  0.26  3.85  3.16 161 1014.3  28.9  29.7  24.2 99.0 99.00
2021 07 27 03 50 134  2.9  3.9 99.00 99.00 99.00 999 1014.2  28.9  29.7  24.1 99.0 99.00
2021 07 27 04 00 133  2.4  3.2 99.00 99.00 99.00 999 1014.3  28.9  29.8  24.2 99.0 99.00
2021 07 27 04 10 127  2.1  3.0 99.00 99.00 99.00 999 1014.5  28.9  29.8  24.3 99.0 99.00
2021 07 27 04 20 133  2.5  3.3 99.00 99.00 99.00 999 1014.5  28.8  29.8  24.3 99.0 99.00
2021 07 27 04 30 144  2.7  3.3 99.00 99.00 99.00 999 1014.6  28.8  29.8  24.0 99.0 99.00
2021 07 27 04 40 148  3.2  3.9  0.27  3.57  3.15 167 1014.7  28.9  29.8  24.1 99.0 99.00
2021 07 27 04 50 144  3.1  4.1 99.00 99.00 99.00 999 1014.9  28.9  29.8  24.3 99.0 99.00
2021 07 27 05 00 144  3.3  4.1 99.00 99.00 99.00 999 1014.9  28.9  29.7  24.2 99.0 99.00
2021 07 27 05 10 140  3.7  4.6 99.00 99.00 99.00 999 1014.9  28.9  29.8  24.1 99.0 99.00
2021 07 27 05 20 139  3.5  4.4 99.00 99.00 99.00 999 1015.0  28.9  29.7  24.1 99.0 99.00
2021 07 27 05 30 132  3.6  4.4 99.00 99.00 99.00 999 1015.1  28.9  29.8  24.2 99.0 99.00
2021 07 27 05 40 133  3.6  4.5  0.26  5.00  3.27 118 1015.2  28.9  29.8  24.2 99.0 99.00
2021 07 27 05 50 129  4.0  5.0 99.00 99.00 99.00 999 1015.2  28.9  29.8  24.4 99.0 99.00
2021 07 27 06 00 133  4.3  5.3 99.00 99.00 99.00 999 1015.2  28.9  29.8  24.7 99.0 99.00
2021 07 27 06 10 131  4.2  5.3 99.00 99.00 99.00 999 1015.2  28.8  29.7  24.8 99.0 99.00
2021 07 27 06 20 136  4.5  5.5 99.00 99.00 99.00 999 1015.1  28.9  29.7  24.9 99.0 99.00
2021 07 27 06 30 137  4.4  5.5 99.00 99.00 99.00 999 1014.9  28.9  29.7  24.6 99.0 99.00
2021 07 27 06 40 136  4.4  5.2  0.24 99.00  3.17 999 1014.8  28.9  29.7  24.4 99.0 99.00
2021 07 27 06 50 142  4.5  5.5 99.00 99.00 99.00 999 1014.8  28.9  29.7  24.6 99.0 99.00
2021 07 27 07 00 143  4.4  5.5 99.00 99.00 99.00 999 1014.6  28.9  29.7  24.9 99.0 99.00
2021 07 27 07 10 146  4.6  5.5 99.00 99.00 99.00 999 1014.6  28.8  29.7  24.6 99.0 99.00
